CATEGORY DESCRIPTION,SIC DIVISION,MAJOR GROUP,INDUSTRY GROUP,MOST SPECIFIC SIC CODE
Ornamental & architectural metal work mfg (pt),D,35,352,3523
Farm machinery & equipment mfg,D,35,352,3523
Conveyor & conveying equipment mfg (pt),D,35,352,3523
Lawn & garden equipment,D,35,352,3524
Hand & edge tool mfg (pt),D,35,352,3524
Lawn & garden tractor & home lawn & garden equipment mfg,D,35,352,3524
Construction and related machinery,D,35,353,353
Construction machinery,D,35,353,3531
Construction machinery mfg,D,35,353,3531
"Overhead traveling crane, hoist, & monorail system mfg (pt)",D,35,353,3531
Railroad rolling stock mfg (pt),D,35,353,3531
Mining machinery,D,35,353,3532
Mining machinery & equipment mfg,D,35,353,3532
Oil field machinery,D,35,353,3533
Oil & gas field machinery & equipment mfg,D,35,353,3533
Elevators & moving stairways,D,35,353,3534
Elevator & moving stairway mfg,D,35,353,3534
Conveyors & conveying equipment,D,35,353,3535
Conveyor & conveying equipment mfg (pt),D,35,353,3535
"Hoists, cranes, & monorails",D,35,353,3536
"Overhead traveling crane, hoist, & monorail system mfg (pt)",D,35,353,3536
Industrial trucks & tractors,D,35,353,3537
Other metal container mfg (pt),D,35,353,3537
All other miscellaneous fabricated metal product mfg (pt),D,35,353,3537
"Industrial truck, tractor, trailer, & stacker machinery mfg",D,35,353,3537
Metalworking machinery,D,35,354,354
"Machine tools, metal cutting types",D,35,354,3541
Machine tool (metal cutting types) mfg (pt),D,35,354,3541
"Machine tools, metal forming types",D,35,354,3542
Machine tool (metal forming types) mfg,D,35,354,3542
Industrial patterns,D,35,354,3543
Industrial pattern mfg,D,35,354,3543
"Special dies, tools, jigs, & fixtures",D,35,354,3544
Industrial mold mfg,D,35,354,3544
"Special die & tool, die set, jig, & fixture mfg",D,35,354,3544
Machine tool accessories,D,35,354,3545
Hand & edge tool mfg (pt),D,35,354,3545
Cutting tool & machine tool accessory mfg,D,35,354,3545
Power-driven handtools,D,35,354,3546
Power-driven handtool mfg,D,35,354,3546
Rolling mill machinery,D,35,354,3547
Rolling mill machinery & equipment mfg,D,35,354,3547
Welding apparatus,D,35,354,3548
Welding & soldering equipment mfg (pt),D,35,354,3548
"Power, distribution, & specialty transformer mfg (pt)",D,35,354,3548
"Metalworking machinery, n.e.c.",D,35,354,3549
Other metalworking machinery mfg,D,35,354,3549
Special industry machinery,D,35,355,355
Textile machinery,D,35,355,3552
Textile machinery mfg (pt),D,35,355,3552
Woodworking machinery,D,35,355,3553
Sawmill & woodworking machinery mfg,D,35,355,3553
Paper industries machinery,D,35,355,3554
Paper industry machinery mfg,D,35,355,3554
Printing trades machinery,D,35,355,3555
Printing machinery & equipment mfg (pt),D,35,355,3555
Food products machinery,D,35,355,3556
Food product machinery mfg,D,35,355,3556
"Special industry machinery, n.e.c.",D,35,355,3559
Plastics & rubber industry machinery mfg,D,35,355,3559
Semiconductor machinery mfg,D,35,355,3559
All other industrial machinery mfg (pt),D,35,355,3559
Other commercial & service industry machinery mfg (pt),D,35,355,3559
General industrial machinery,D,35,356,356
Pumps & pumping equipment,D,35,356,3561
Pump & pumping equipment mfg (pt),D,35,356,3561
Ball & roller bearings,D,35,356,3562
Ball & roller bearing mfg,D,35,356,3562
Air & gas compressors,D,35,356,3563
Air & gas compressor mfg,D,35,356,3563
Blowers & fans,D,35,356,3564
Air purification equipment mfg,D,35,356,3564
Industrial & commercial fan & blower mfg,D,35,356,3564
Packaging machinery,D,35,356,3565
Packaging machinery mfg,D,35,356,3565
"Speed changers, drives, & gears",D,35,356,3566
"Speed changer, industrial high-speed drive, & gear mfg",D,35,356,3566
Industrial furnaces & ovens,D,35,356,3567
Industrial process furnace & oven mfg,D,35,356,3567
"Power transmission equipment, n.e.c.",D,35,356,3568
Mechanical power transmission equipment mfg,D,35,356,3568
"General industrial machinery, n.e.c.",D,35,356,3569
All other miscellaneous general-purpose machinery mfg (pt),D,35,356,3569
Computer and office equipment,D,35,357,357
Electronic computers,D,35,357,3571
Electronic computer mfg,D,35,357,3571
Computer storage devices,D,35,357,3572
Computer storage device mfg,D,35,357,3572
Computer terminals,D,35,357,3575
Computer terminal mfg,D,35,357,3575
"Computer peripheral equipment, n.e.c.",D,35,357,3577
Other computer peripheral equipment mfg (pt),D,35,357,3577
Calculating & accounting equipment,D,35,357,3578
Office machinery mfg (pt),D,35,357,3578
Other computer peripheral equipment mfg (pt),D,35,357,3578
"Office machines, n.e.c.",D,35,357,3579
Office machinery mfg (pt),D,35,357,3579
"Watch, clock, & part mfg (pt)",D,35,357,3579
Lead pencil & art good mfg (pt),D,35,357,3579
Refrigeration and service machinery,D,35,358,358
Automatic merchandising machines,D,35,358,3581
Automatic vending machine mfg,D,35,358,3581
Commercial laundry equipment,D,35,358,3582
"Commercial laundry, drycleaning, & pressing machine mfg",D,35,358,3582
Refrigeration & heating equipment,D,35,358,3585
AC & warm air heating & commercial/industrial refrig equip mfg (p,D,35,358,3585
Motor vehicle air-conditioning mfg,D,35,358,3585
Measuring & dispensing pumps,D,35,358,3586
Measuring & dispensing pump mfg,D,35,358,3586
"Service industry machinery, n.e.c.",D,35,358,3589
Other commercial & service industry machinery mfg (pt),D,35,358,3589
"Industrial machinery, n.e.c.",D,35,359,359
"Carburetors, pistons, rings, & valves",D,35,359,3592
"Carburetor, piston, piston ring, & valve mfg",D,35,359,3592
Fluid power cylinders & actuators,D,35,359,3593
Fluid power cylinder & actuator mfg (pt),D,35,359,3593
Fluid power pumps & motors,D,35,359,3594
Fluid power pump & motor mfg (pt),D,35,359,3594
"Scales & balances, except laboratory",D,35,359,3596
Scale & balance (except laboratory) mfg,D,35,359,3596
"Industrial machinery, n.e.c.",D,35,359,3599
Machine shops,D,35,359,3599
All other miscellaneous fabricated metal product mfg (pt),D,35,359,3599
Other commercial & service industry machinery mfg (pt),D,35,359,3599
All other miscellaneous general-purpose machinery mfg (pt),D,35,359,3599
Electronic and other electric equipment,D,36,36,36
Electric distribution equipment,D,36,361,361
Transformers,D,36,361,3612
"Power, distribution, & specialty transformer mfg (pt)",D,36,361,3612
Switchgear & switchboard apparatus,D,36,361,3613
Switchgear & switchboard apparatus mfg,D,36,361,3613
Electrical industrial apparatus,D,36,362,362
Motors & generators,D,36,362,3621
Motor & generator mfg (pt),D,36,362,3621
Carbon & graphite products,D,36,362,3624
Carbon & graphite product mfg,D,36,362,3624
Relays & industrial controls,D,36,362,3625
Relay & industrial control mfg,D,36,362,3625
"Electrical industrial apparatus, n.e.c.",D,36,362,3629
All other miscellaneous electrical equipment & component mfg (pt),D,36,362,3629
Household appliances,D,36,363,363
Household cooking equipment,D,36,363,3631
Household cooking appliance mfg,D,36,363,3631
Household refrigerators & freezers,D,36,363,3632
Household refrigerator & home freezer mfg,D,36,363,3632
Household laundry equipment,D,36,363,3633
Household laundry equipment mfg,D,36,363,3633
Electric housewares & fans,D,36,363,3634
Heating equipment (except warm air furnaces) mfg (pt),D,36,363,3634
Electric housewares & household fan mfg,D,36,363,3634
Household vacuum cleaners,D,36,363,3635
Household vacuum cleaner mfg (pt),D,36,363,3635
"Household appliances, n.e.c.",D,36,363,3639
All other industrial machinery mfg (pt),D,36,363,3639
Household vacuum cleaner mfg (pt),D,36,363,3639
Other major household appliance mfg,D,36,363,3639
Electric lighting and wiring equipment,D,36,364,364
Electric lamps,D,36,364,3641
Electric lamp bulb & part mfg,D,36,364,3641
Current-carrying wiring devices,D,36,364,3643
Current-carrying wiring device mfg,D,36,364,3643
Noncurrent-carrying wiring devices,D,36,364,3644
Noncurrent-carrying wiring device mfg,D,36,364,3644
Residential lighting fixtures,D,36,364,3645
Residential electric lighting fixture mfg (pt),D,36,364,3645
Commercial lighting fixtures,D,36,364,3646
Commercial/industrial/institutional electric lighting fixture mfg,D,36,364,3646
Vehicular lighting equipment,D,36,364,3647
Vehicular lighting equipment mfg,D,36,364,3647
"Lighting equipment, n.e.c.",D,36,364,3648
Other lighting equipment mfg (pt),D,36,364,3648
Household audio and video equipment,D,36,365,365
Household audio & video equipment,D,36,365,3651
Audio & video equipment mfg,D,36,365,3651
Prerecorded records & tapes,D,36,365,3652
"Prerecorded CD (except software), tape, & record reproducing (pt)",D,36,365,3652
Communications equipment,D,36,366,366
Telephone & telegraph apparatus,D,36,366,3661
Telephone apparatus mfg,D,36,366,3661
"Electronic coil, transformer, & other inductor mfg (pt)",D,36,366,3661
Printed circuit assembly (electronic assembly) mfg (pt),D,36,366,3661
Radio & TV communications equipment,D,36,366,3663
Radio & TV broadcasting & wireless communications equipment mfg (,D,36,366,3663
"Communications equipment, n.e.c.",D,36,366,3669
Other communications equipment mfg,D,36,366,3669
Electronic components and accessories,D,36,367,367
Electron tubes,D,36,367,3671
Electron tube mfg,D,36,367,3671
Printed circuit boards,D,36,367,3672
Bare printed circuit board mfg,D,36,367,3672
Semiconductors & related devices,D,36,367,3674
Semiconductor & related device mfg,D,36,367,3674
Electronic capacitors,D,36,367,3675
Electronic capacitor mfg,D,36,367,3675
Electronic resistors,D,36,367,3676
Electronic resistor mfg,D,36,367,3676
Electronic coils & transformers,D,36,367,3677
"Electronic coil, transformer, & other inductor mfg (pt)",D,36,367,3677
Electronic connectors,D,36,367,3678
Electronic connector mfg,D,36,367,3678
"Electronic components, n.e.c.",D,36,367,3679
Radio & TV broadcasting & wireless communications equipment mfg (,D,36,367,3679
Printed circuit assembly (electronic assembly) mfg (pt),D,36,367,3679
Other electronic component mfg,D,36,367,3679
Other motor vehicle electrical & electronic equipment mfg (pt),D,36,367,3679
Miscellaneous electrical equipment and supplies,D,36,369,369
Storage batteries,D,36,369,3691
Storage battery mfg,D,36,369,3691
"Primary batteries, dry & wet",D,36,369,3692
Primary battery mfg,D,36,369,3692
Engine electrical equipment,D,36,369,3694
Other motor vehicle electrical & electronic equipment mfg (pt),D,36,369,3694
Magnetic & optical recording media,D,36,369,3695
Magnetic & optical recording media mfg,D,36,369,3695
"Electrical equipment & supplies, n.e.c.",D,36,369,3699
Hand & edge tool mfg (pt),D,36,369,3699
Textile machinery mfg (pt),D,36,369,3699
Printing machinery & equipment mfg (pt),D,36,369,3699
Optical instrument & lens mfg (pt),D,36,369,3699
Photographic & photocopying equipment mfg (pt),D,36,369,3699
Other commercial & service industry machinery mfg (pt),D,36,369,3699
Machine tool (metal cutting types) mfg (pt),D,36,369,3699
Other engine equipment mfg (pt),D,36,369,3699
Welding & soldering equipment mfg (pt),D,36,369,3699
Other computer peripheral equipment mfg (pt),D,36,369,3699
Electromedical & electrotherapeutic apparatus mfg (pt),D,36,369,3699
"Search, detection, navigation, & guidance instrument mfg (pt)",D,36,369,3699
Analytical laboratory instrument mfg (pt),D,36,369,3699
Other measuring & controlling device mfg (pt),D,36,369,3699
Other lighting equipment mfg (pt),D,36,369,3699
All other miscellaneous electrical equipment & component mfg (pt),D,36,369,3699
Dental equipment & supplies mfg (pt),D,36,369,3699
Transportation equipment,D,37,37,37
Motor vehicles and equipment,D,37,371,371
Motor vehicles & car bodies,D,37,371,3711
Automobile mfg,D,37,371,3711
Light truck & utility vehicle mfg,D,37,371,3711
Heavy duty truck mfg,D,37,371,3711
Motor vehicle body mfg (pt),D,37,371,3711
"Military armored vehicle, tank, & tank component mfg (pt)",D,37,371,3711
Truck & bus bodies,D,37,371,3713
Motor vehicle body mfg (pt),D,37,371,3713
Motor vehicle parts & accessories,D,37,371,3714
Motor vehicle body mfg (pt),D,37,371,3714
Gasoline engine & engine parts mfg,D,37,371,3714
Other motor vehicle electrical & electronic equipment mfg (pt),D,37,371,3714
Motor vehicle steering & suspension component (except spring) mfg,D,37,371,3714
Motor vehicle brake system mfg (pt),D,37,371,3714
Motor vehicle transmission & power train parts mfg,D,37,371,3714
All other motor vehicle parts mfg (pt),D,37,371,3714
Truck trailers,D,37,371,3715
Truck trailer mfg,D,37,371,3715
Motor homes,D,37,371,3716
Motor home mfg,D,37,371,3716
Aircraft and parts,D,37,372,372
Aircraft,D,37,372,3721
Aircraft mfg,D,37,372,3721
Aircraft engines & engine parts,D,37,372,3724
Aircraft engine & engine parts mfg,D,37,372,3724
"Aircraft parts & equipment, n.e.c.",D,37,372,3728
Fluid power valve & hose fitting mfg (pt),D,37,372,3728
Fluid power cylinder & actuator mfg (pt),D,37,372,3728
Fluid power pump & motor mfg (pt),D,37,372,3728
Other aircraft part & auxiliary equipment mfg,D,37,372,3728
Ship and boat building and repairing,D,37,373,373
Ship building & repairing,D,37,373,3731
Ship building & repairing,D,37,373,3731
Boat building & repairing,D,37,373,3732
Boat building,D,37,373,3732
Boat repair,D,37,373,3732
Railroad equipment,D,37,374,374
Railroad equipment,D,37,374,3743
Pump & pumping equipment mfg (pt),D,37,374,3743
Railroad rolling stock mfg (pt),D,37,374,3743
"Motorcycles, bicycles, and parts",D,37,375,375
"Motorcycles, bicycles, & parts",D,37,375,3751
"Motorcycle, bicycle, & parts mfg (pt)",D,37,375,3751
"Guided missiles, space vehicles, parts",D,37,376,376
Guided missiles & space vehicles,D,37,376,3761
Guided missile & space vehicle mfg,D,37,376,3761
Space propulsion units & parts,D,37,376,3764
Guided missile & space vehicle propulsion unit & parts mfg,D,37,376,3764
"Space vehicle equipment, n.e.c.",D,37,376,3769
Other guided missile & space vehicle parts & auxiliary equip mfg,D,37,376,3769
Miscellaneous transportation equipment,D,37,379,379
Travel trailer & campers,D,37,379,3792
Travel trailer & camper mfg (pt),D,37,379,3792
Tanks & tank components,D,37,379,3795
"Military armored vehicle, tank, & tank component mfg (pt)",D,37,379,3795
"Transportation equipment, n.e.c.",D,37,379,3799
Hand & edge tool mfg (pt),D,37,379,3799
Travel trailer & camper mfg (pt),D,37,379,3799
All other transportation equipment mfg,D,37,379,3799
Instruments and related products,D,38,38,38
Search and navigation equipment,D,38,381,381
Search & navigation equipment,D,38,381,3812
"Search, detection, navigation, & guidance instrument mfg (pt)",D,38,381,3812
Measuring and controlling devices,D,38,382,382
Laboratory apparatus & furniture,D,38,382,3821
Laboratory apparatus & furniture mfg,D,38,382,3821
Environmental controls,D,38,382,3822
Automatic environmental control mfg,D,38,382,3822
Process control instruments,D,38,382,3823
Industrial process control instrument mfg,D,38,382,3823
Fluid meters & counting devices,D,38,382,3824
Totalizing fluid meter & counting device mfg,D,38,382,3824
Instruments to measure electricity,D,38,382,3825
"Electronic coil, transformer, & other inductor mfg (pt)",D,38,382,3825
Electricity measuring & testing instrument mfg,D,38,382,3825
Analytical instruments,D,38,382,3826
Analytical laboratory instrument mfg (pt),D,38,382,3826
Optical instruments & lenses,D,38,382,3827
Optical instrument & lens mfg (pt),D,38,382,3827
"Measuring & controlling devices, n.e.c.",D,38,382,3829
Other measuring & controlling device mfg (pt),D,38,382,3829
Surgical & medical instrument mfg (pt),D,38,382,3829
Medical instruments and supplies,D,38,384,384
Surgical & medical instruments,D,38,384,3841
Surgical & medical instrument mfg (pt),D,38,384,3841
Surgical appliances & supplies,D,38,384,3842
Paper (except newsprint) mills (pt),D,38,384,3842
Sanitary paper product mfg (pt),D,38,384,3842
Electromedical & electrotherapeutic apparatus mfg (pt),D,38,384,3842
Surgical appliance & supplies mfg (pt),D,38,384,3842
Dental equipment & supplies,D,38,384,3843
Dental equipment & supplies mfg (pt),D,38,384,3843
X-ray apparatus & tubes,D,38,384,3844
Irradiation apparatus mfg,D,38,384,3844
Electromedical equipment,D,38,384,3845
Electromedical & electrotherapeutic apparatus mfg (pt),D,38,384,3845
Ophthalmic goods,D,38,385,385
Ophthalmic goods,D,38,385,3851
Ophthalmic goods mfg,D,38,385,3851
Photographic equipment and supplies,D,38,386,386
Photographic equipment & supplies,D,38,386,3861
"Photographic film, paper, plate, & chemical mfg",D,38,386,3861
Photographic & photocopying equipment mfg (pt),D,38,386,3861
"Watches, clocks, watchcases, and parts",D,38,387,387
"Watches, clocks, & watchcases",D,38,387,3873
"Watch, clock, & part mfg (pt)",D,38,387,3873
Miscellaneous manufacturing industries,D,39,39,39
"Jewelry, silverware, and plated ware",D,39,391,391
"Jewelry, precious metal",D,39,391,3911
Jewelry (except costume) mfg (pt),D,39,391,3911
Silverware & plated ware,D,39,391,3914
Cutlery & flatware (except precious) mfg (pt),D,39,391,3914
Silverware & plated ware mfg (pt),D,39,391,3914
Jewelers' materials & lapidary work,D,39,391,3915
Jewelers' material & lapidary work mfg,D,39,391,3915
Musical instruments,D,39,393,393
Musical instruments,D,39,393,3931
Musical instrument mfg,D,39,393,3931
Toys and sporting goods,D,39,394,394
Dolls,D,39,394,3942
Doll & stuffed toy mfg,D,39,394,3942
"Games, toys, & children's vehicles",D,39,394,3944
"Motorcycle, bicycle, & parts mfg (pt)",D,39,394,3944
"Game, toy, & children's vehicle mfg",D,39,394,3944
"Sporting & athletic goods, n.e.c.",D,39,394,3949
Sporting & athletic goods mfg,D,39,394,3949
"Pens, pencils, office, and art supplies",D,39,395,395
Pens & mechanical pencils,D,39,395,3951
Pen & mechanical pencil mfg,D,39,395,3951
Lead pencils & art goods,D,39,395,3952
All other miscellaneous chemical product & preparation mfg (pt),D,39,395,3952
Institutional furniture mfg (pt),D,39,395,3952
Lead pencil & art good mfg (pt),D,39,395,3952
Marking devices,D,39,395,3953
Marking device mfg,D,39,395,3953
Carbon paper & inked ribbons,D,39,395,3955
Carbon paper & inked ribbon mfg,D,39,395,3955
Costume jewelry and notions,D,39,396,396
Costume jewelry,D,39,396,3961
Costume jewelry & novelty mfg (pt),D,39,396,3961
"Fasteners, buttons, needles, & pins",D,39,396,3965
"Fastener, button, needle, & pin mfg (pt)",D,39,396,3965
Miscellaneous manufactures,D,39,399,399
Brooms & brushes,D,39,399,3991
"Broom, brush, & mop mfg (pt)",D,39,399,3991
Signs & advertising displays,D,39,399,3993
Sign mfg,D,39,399,3993
Burial caskets,D,39,399,3995
Burial casket mfg,D,39,399,3995
Hard surface floor coverings,D,39,399,3996
Resilient floor covering mfg (pt),D,39,399,3996
"Mfg industries, n.e.c.",D,39,399,3999
All other miscellaneous textile product mills (pt),D,39,399,3999
Leather & hide tanning & finishing (pt),D,39,399,3999
All other miscellaneous wood product mfg (pt),D,39,399,3999
All other converted paper product mfg (pt),D,39,399,3999
Commercial lithographic printing (pt),D,39,399,3999
Commercial gravure printing (pt),D,39,399,3999
Commercial flexographic printing (pt),D,39,399,3999
Commercial screen printing (pt),D,39,399,3999
Other commercial printing (pt),D,39,399,3999
All other miscellaneous chemical product & preparation mfg (pt),D,39,399,3999
All other plastics product mfg (pt),D,39,399,3999
Hand & edge tool mfg (pt),D,39,399,3999
All other miscellaneous fabricated metal product mfg (pt),D,39,399,3999
Residential electric lighting fixture mfg (pt),D,39,399,3999
Institutional furniture mfg (pt),D,39,399,3999
All other miscellaneous mfg (pt),D,39,399,3999
"Transportation, communications, and utilities ",E,E,E,E
Railroad Transportation,E,40,40,40
Railroad Transportation,E,40,401,401
"Railroads, Line-Haul Operating",E,40,401,4011
Railroad Switching and Terminal Establishments,E,40,401,4013
Local and interurban passenger transportation,E,41,41,41
Local and suburban passenger transportation,E,41,411,411
Local & suburban transit,E,41,411,4111
Mixed mode transit systems,E,41,411,4111
Commuter rail systems,E,41,411,4111
Bus & motor vehicle transit systems,E,41,411,4111
Other urban transit systems,E,41,411,4111
Scheduled airport shuttle service,E,41,411,4111
Other local passenger transportation,E,41,411,4119
Limousine service,E,41,411,4119
Employee bus service,E,41,411,4119
Special needs transportation,E,41,411,4119
All other passenger transportation,E,41,411,4119
Sightseeing buses,E,41,411,4119
Ambulance or rescue service (except by air),E,41,411,4119
Taxi service,E,41,412,412
Taxi service,E,41,412,4121
Taxi service,E,41,412,4121
Interurban and rural bus transportation,E,41,413,413
Interurban & rural bus transportation,E,41,413,4131
Interurban & rural bus transportation,E,41,413,4131
Charter bus service,E,41,414,414
"Charter bus service, local",E,41,414,4141
"Charter bus service, local",E,41,414,4141
"Charter bus service, interstate/interurban",E,41,414,4142
"Charter bus service, interstate/interurban",E,41,414,4142
School bus service,E,41,415,415
School bus service,E,41,415,4151
School bus service,E,41,415,4151
Bus terminal and service facilities,E,41,417,417
Bus terminal & service facilities,E,41,417,4173
Terminal or maintenance facilities for motor vehicle pass trans,E,41,417,4173
Motor freight transportation and warehousing,E,42,42,42
"Trucking and courier services, except air",E,42,421,421
Local trucking without storage,E,42,421,4212
"General freight trucking, local",E,42,421,4212
"General freight trucking without storage, local, truckload",E,42,421,4212
"General freight trucking w/o storage, local, less than truckload",E,42,421,4212
"Used household & office goods moving, local, without storage",E,42,421,4212
"Specialized freight (except used goods) trucking, local",E,42,421,4212
"Hazardous materials trucking (except waste), local",E,42,421,4212
"Agricultural products trucking without storage, local",E,42,421,4212
Dump trucking,E,42,421,4212
"Specialized trucking without storage, local",E,42,421,4212
Solid waste collection,E,42,421,4212
Hazardous waste collection,E,42,421,4212
Other waste collection,E,42,421,4212
"Trucking, except local",E,42,421,4213
"General freight trucking, long-distance, truckload",E,42,421,4213
"General freight trucking, long-distance, less than truckload",E,42,421,4213
"Used household & office goods moving, long-distance",E,42,421,4213
"Specialized freight (except used goods) trucking, long-distance",E,42,421,4213
"Hazardous materials trucking (except waste), long-distance",E,42,421,4213
"Agricultural products trucking, long-distance",E,42,421,4213
"Other specialized trucking, long-distance",E,42,421,4213
Local trucking with storage,E,42,421,4214
"General freight trucking, local",E,42,421,4214
"General freight trucking with storage, local, truckload",E,42,421,4214
"General freight trucking with storage, local, less than truckload",E,42,421,4214
"Used household & office goods moving, local, with storage",E,42,421,4214
"Specialized trucking with storage, local",E,42,421,4214
"Courier services, except by air",E,42,421,4215
Courier services (except by air),E,42,421,4215
Local messengers & local delivery,E,42,421,4215
Public warehousing and storage,E,42,422,422
Farm product warehousing & storage facilities,E,42,422,4221
Farm product warehousing & storage,E,42,422,4221
Refrigerated products warehousing,E,42,422,4222
Refrigerated products warehousing,E,42,422,4222
General warehousing & storage,E,42,422,4225
General warehousing & storage (except in foreign trade zones),E,42,422,4225
Lessors of miniwarehouses & self storage units,E,42,422,4225
Other special warehousing & storage,E,42,422,4226
General warehousing & storage in foreign trade zones,E,42,422,4226
Fur storage,E,42,422,4226
Other warehousing & storage,E,42,422,4226
Household goods warehousing & storage,E,42,422,4226
Specialized goods warehousing & storage,E,42,422,4226
Trucking terminal facilities,E,42,423,423
Trucking terminal facilities,E,42,423,4231
Motor freight terminal & joint terminal maint facility trans,E,42,423,4231
Water transportation,E,44,44,44
Deep sea freight transportation,E,44,441,441
Deep sea freight transportation,E,44,441,4412
Deep sea freight transportation,E,44,441,4412
Coastal and intercoastal freight transportation,E,44,442,442
Coastal & intercoastal freight transportation,E,44,442,4424
Coastal & intercoastal freight transportation,E,44,442,4424
Great Lakes - St. Lawrence Seaway freight transportation,E,44,443,443
Great Lakes - St. Lawrence Seaway freight transportation,E,44,443,4432
Great Lakes - St. Lawrence Seaway freight transportation,E,44,443,4432
Inland waterways freight transportation,E,44,444,444
Inland waterways freight transportation,E,44,444,4449
Inland waterways freight transportation (except towing),E,44,444,4449
Water transportation of passengers,E,44,448,448
"Deep sea passenger transportation, except by ferry",E,44,448,4481
Deep sea passenger transportation,E,44,448,4481
Coastal & Great Lakes - St. Lawrence Seaway passenger trans,E,44,448,4481
Ferry transportation,E,44,448,4482
Coastal & Great Lakes - St. Lawrence Seaway ferry transportation,E,44,448,4482
Inland waterways ferry transportation,E,44,448,4482
"Water transportation of passengers, n.e.c.",E,44,448,4489
Other water passenger transportation (including water taxi),E,44,448,4489
Excursion & sightseeing boats (including dinner cruises),E,44,448,4489
Services incidental to water transportation,E,44,449,449
Marine cargo handling & operation of port & waterfront terminals,E,44,449,4491
Operation of port & waterfront terminals,E,44,449,4491
Marine cargo handling,E,44,449,4491
Towing & tugboat services,E,44,449,4492
Coastal & intercoastal towing service,E,44,449,4492
Inland waterways towing transportation,E,44,449,4492
Tugboat service (including fleeting & harbor service),E,44,449,4492
Marinas,E,44,449,4493
Marinas,E,44,449,4493
Other water transportation services,E,44,449,4499
Seaway & lighthouse operations,E,44,449,4499
Navigational services to shipping,E,44,449,4499
Navigational services,E,44,449,4499
Marine salvaging & wrecking (including dismantling of ships),E,44,449,4499
Other services incidental to water transportation,E,44,449,4499
Commercial vessel rental & leasing,E,44,449,4499
Transportation by air ,E,45,45,45
Scheduled air transportation and air courier services ,E,45,451,451
Scheduled air transportation  ,E,45,451,4512
Scheduled passenger air transportation ,E,45,451,4512
Scheduled freight air transportation,E,45,451,4512
Air courier services,E,45,451,4513
Air courier services,E,45,451,4513
Nonscheduled air transportation,E,45,452,452
Nonscheduled air transportation,E,45,452,4522
Nonscheduled chartered passenger air transportation,E,45,452,4522
Nonscheduled chartered freight air transportation,E,45,452,4522
Other nonscheduled air transportation,E,45,452,4522
Sightseeing airplanes and helicopters,E,45,452,4522
Air ambulance,E,45,452,4522
Airport terminal services,E,45,458,458
Airport terminal services,E,45,458,4581
Nongovernment air traffic control,E,45,458,4581
Airport operation & terminal services,E,45,458,4581
Other support activities for air transportation,E,45,458,4581
Airplane cleaning & janitorial services,E,45,458,4581
"Pipelines, except natural gas",E,46,46,46
"Pipelines, except natural gas",E,46,461,461
Pipeline transportation of crude oil,E,46,461,4612
Pipeline transportation of crude oil,E,46,461,4612
Pipeline transportation of refined petroleum products,E,46,461,4613
Pipeline transportation of refined petroleum products,E,46,461,4613
All other pipeline transportation,E,46,461,4619
All other pipeline transportation,E,46,461,4619
Transportation services,E,47,47,47
Arrangement of passenger transportation,E,47,472,472
Travel agencies,E,47,472,4724
Travel agencies,E,47,472,4724
Tour operators,E,47,472,4725
Tour operators,E,47,472,4725
"Arrangement of passenger transportation, n.e.c.",E,47,472,4729
Arrangement of carpools & vanpools,E,47,472,4729
"Arrangement of passenger transportation, nec",E,47,472,4729
Freight shipping services,E,47,473,473
Freight shipping services,E,47,473,4731
Freight transportation arrangement,E,47,473,4731
Freight forwarding,E,47,473,4731
Arrangement of transportation of freight & cargo,E,47,473,4731
Tariff consulting,E,47,473,4731
Railroad car rental,E,47,474,474
Railroad car rental,E,47,474,4741
Railroad car rental,E,47,474,4741
Miscellaneous services incidental to transportation,E,47,478,478
Packing & crating,E,47,478,4783
Packing & crating,E,47,478,4783
"Fixed facilities, inspection, & weighing services",E,47,478,4785
Marine cargo inspectors & surveyors,E,47,478,4785
Fixed facilities & inspection & weighing serv for motor trans veh,E,47,478,4785
"Transportation services, n.e.c.",E,47,478,4789
Horse drawn cabs & carriages,E,47,478,4789
Support activities incidental to rail transportation,E,47,478,4789
Support activities incidental to road transportation,E,47,478,4789
Other support activities for transportation,E,47,478,4789
Communications,E,48,48,48
Telephone,E,48,481,481
Radiotelephone,E,48,481,4812
Paging,E,48,481,4812
Cellular & other wireless telecommunications,E,48,481,4812
Cellular telephone service,E,48,481,4812
Specialized (smr) & other mobile radio services,E,48,481,4812
Resellers - cellular or other wireless service,E,48,481,4812
Other telephone,E,48,481,4813
Wired telecommunications carriers - local & long-distance,E,48,481,4813
Resellers - wired telephone service,E,48,481,4813
Voice mailbox,E,48,481,4813
Telegraph communications,E,48,482,482
Telegraph communications,E,48,482,4822
Wired telecommunications carriers - telegraph service,E,48,482,4822
Radio and television broadcasting,E,48,483,483
Radio broadcasting,E,48,483,4832
Radio networks,E,48,483,4832
Radio stations,E,48,483,4832
Television broadcasting,E,48,483,4833
Television broadcasting,E,48,483,4833
Cable and other pay television broadcasting,E,48,484,484
Cable & other pay television broadcasting,E,48,484,4841
Cable networks,E,48,484,4841
Cable & other program distribution,E,48,484,4841
"Communication services, not elsewhere classified",E,48,489,489
"Communication services, n.e.c.",E,48,489,4899
Radio dispatch service,E,48,489,4899
Satellite telecommunications,E,48,489,4899
Other telecommunications,E,48,489,4899
Pay telephone operators,E,48,489,4899
"Electric, gas, and sanitary services",E,49,49,49
